name of image,area,perimeter,aspect_ratio,equi_diameter,extent,convex_area,solidity,majoraxis_length,minoraxis_length,eccentricity,Species
7.19,23019,948.1219255,0.331210191,171.1978419,0.704893435,25487,0.90316632,306.5859375,97.3800354,0.94821567,7
7.2,24120.5,1009.82041,0.297994269,175.2460397,0.664549813,27669,0.87175178,333.9396057,96.70133972,0.957154621,7
7.21,23469,975.4356343,0.301169591,172.8631218,0.666240845,26210.5,0.895404513,321.1285095,94.59693909,0.955627876,7
7.22,23754,898.3229358,0.327044025,173.9095516,0.718251089,25826.5,0.919752967,307.0715332,99.80806732,0.945703027,7
7.23,19782.5,753.0264721,0.312292359,158.7068407,0.699176504,21175,0.934238489,291.3371582,87.71640778,0.953598217,7
7.24,23490.5,978.3645658,0.297994269,172.9422838,0.647192528,26168,0.897680373,323.6329956,95.34365845,0.955619344,7
7.25,23840,961.8376539,0.311178248,174.224082,0.699263778,26364.5,0.90424624,316.1122131,98.73863983,0.949966063,7
7.26,23797.5,1046.648836,0.301449275,174.0687165,0.663252508,27070.5,0.879093478,321.7289124,98.63030243,0.951850248,7
7.27,23620,1016.548331,0.303834808,173.4183325,0.676461323,26049.5,0.906735254,320.9311829,95.12284851,0.955065009,7
7.28,22836,983.7787797,0.326984127,170.5159765,0.703837263,25250,0.90439604,301.1633606,97.43067169,0.946223261,7
7.29,21953.5,895.9970343,0.36013986,167.1887088,0.745247471,23928,0.917481612,291.8334045,97.77597046,0.942203775,7
8,41619.5,1452.780867,0.368171021,230.1990296,0.63779787,46825.5,0.888821262,419.1784363,140.0468903,0.942538162,8
8.01,41820,1562.704746,0.357819905,230.75285,0.656288252,46945.5,0.890820206,423.6655273,138.2346191,0.945272328,8
8.02,40801.5,1445.325022,0.354216867,227.9256091,0.668822228,45620.5,0.894367664,412.9680176,137.6392822,0.942823358,8
8.03,41177,1378.052943,0.369565217,228.9720174,0.6500742,46006.5,0.895025703,408.414032,139.0505371,0.94025732,8
8.04,40663.5,1573.633679,0.3507109,227.5398344,0.651074356,46175,0.880638874,411.1378784,139.5370026,0.940644945,8
8.05,41838,1296.940248,0.356294537,230.8025045,0.662517815,46416,0.901370217,422.5890198,139.2189178,0.944175529,8
8.06,41105,1451.851935,0.351543943,228.7717454,0.659706619,46459,0.884758604,415.8959656,137.8926697,0.943435653,8
8.07,42854.5,1421.692554,0.354022989,233.5894777,0.639714883,47584.5,0.900597884,433.4299622,141.5301666,0.94518502,8
8.08,36408,2439.797234,0.358851675,215.3046803,0.580669856,45821.5,0.794561505,405.2040405,129.2180634,0.947789618,8
